Id,MonthlyIncome
1,0
5,0
7,0
8,0
9,0
14,0
18,0
24,0
31,0
34,0
35,0
36,0
44,0
47,0
50,0
53,0
62,0
71,0
76,0
84,0
93,0
97,0
100,0
101,0
104,0
120,0
122,0
125,0
128,0
131,0
140,0
145,0
148,0
151,0
174,0
177,0
183,0
189,0
197,0
200,0
201,0
211,0
214,0
215,0
217,0
218,0
220,0
223,0
231,0
242,0
244,0
249,0
251,0
252,0
262,0
264,0
267,0
268,0
269,0
274,0
275,0
279,0
280,0
281,0
284,0
285,0
289,0
291,0
292,0
300,0
305,0
312,0
313,0
324,0
331,0
335,0
342,0
344,0
345,0
346,0
347,0
352,0
360,0
368,0
370,0
375,0
378,0
381,0
383,0
389,0
397,0
398,0
402,0
409,0
424,0
429,0
431,0
432,0
439,0
448,0
452,0
457,0
458,0
460,0
463,0
465,0
466,0
471,0
475,0
481,0
486,0
488,0
492,0
500,0
502,0
504,0
506,0
507,0
513,0
517,0
521,0
533,0
537,0
539,0
551,0
564,0
567,0
574,0
579,0
580,0
586,0
597,0
608,0
609,0
612,0
617,0
619,0
622,0
625,0
626,0
627,0
630,0
641,0
645,0
648,0
650,0
652,0
656,0
657,0
658,0
665,0
675,0
678,0
682,0
683,0
703,0
706,0
711,0
716,0
719,0
726,0
730,0
734,0
735,0
737,0
739,0
742,0
743,0
748,0
749,0
753,0
757,0
759,0
763,0
773,0
776,0
777,0
790,0
791,0
792,0
794,0
796,0
801,0
803,0
812,0
814,0
820,0
821,0
822,0
828,0
832,0
834,0
844,0
845,0
851,0
853,0
854,0
867,0
873,0
874,0
879,0
880,0
881,0
891,0
895,0
897,0
901,0
906,0
908,0
912,0
913,0
927,0
928,0
929,0
931,0
937,0
938,0
940,0
944,0
953,0
954,0
960,0
964,0
965,0
972,0
980,0
981,0
986,0
992,0
994,0
997,0
1004,0
1010,0
1012,0
1013,0
1024,0
1025,0
1027,0
1034,0
1035,0
1036,0
1039,0
1044,0
1046,0
1048,0
1051,0
1053,0
1054,0
1057,0
1061,0
1066,0
1079,0
1088,0
1091,0
1093,0
1104,0
1108,0
1109,0
1110,0
1114,0
1115,0
1119,0
1122,0
1123,0
1132,0
1134,0
1139,0
1140,0
1144,0
1148,0
1149,0
1150,0
1164,0
1166,0
1176,0
1180,0
1183,0
1184,0
1189,0
1191,0
1198,0
1203,0
1214,0
1216,0
1227,0
1228,0
1241,0
1244,0
1247,0
1248,0
1256,0
1267,0
1271,0
1276,0
1277,0
1279,0
1281,0
1282,0
1283,0
1289,0
1291,0
1292,0
1299,0
1303,0
1304,0
1319,0
1323,0
1324,0
1329,0
1331,0
1332,0
1333,0
1337,0
1338,0
1339,0
1340,0
1347,0
1348,0
1367,0
1372,0
1378,0
1386,0
1389,0
1394,0
1396,0
1397,0
1398,0
1399,0
1403,0
1407,0
1412,0
1413,0
1415,0
1417,0
1419,0
1423,0
1424,0
1427,0
1428,0
1434,0
1435,0
1442,0
1443,0
1445,0
1449,0
1451,0
1454,0
1457,0
1458,0
1466,0
1471,0
1472,0
1475,0
1476,0
1483,0
1484,0
1488,0
1490,0
1497,0
1504,0
1509,0
1511,0
1513,0
1514,0
1517,0
1521,0
1531,0
1537,0
1541,0
1554,0
1556,0
1564,0
1570,0
1576,0
1582,0
1589,0
1591,0
1593,0
1595,0
1599,0
1600,0
1604,0
1611,0
1613,0
1617,0
1632,0
1636,0
1641,0
1643,0
1651,0
1656,0
1661,0
1662,0
1663,0
1665,0
1667,0
1669,0
1676,0
1677,0
1681,0
1683,0
1685,0
1691,0
1699,0
1704,0
1708,0
1711,0
1715,0
1716,0
1719,0
1720,0
1724,0
1730,0
1731,0
1732,0
1737,0
1739,0
1742,0
1759,0
1762,0
1764,0
1766,0
1772,0
1787,0
1789,0
1791,0
1792,0
1797,0
1802,0
1805,0
1806,0
1808,0
1809,0
1816,0
1819,0
1828,0
1830,0
1835,0
1838,0
1841,0
1845,0
1852,0
1865,0
1867,0
1872,0
1874,0
1879,0
1889,0
1890,0
1891,0
1896,0
1902,0
1905,0
1912,0
1913,0
1922,0
1924,0
1931,0
1932,0
1938,0
1946,0
1948,0
1960,0
1963,0
1965,0
1967,0
1969,0
1973,0
1982,0
1993,0
1995,0
2002,0
2005,0
2009,0
2010,0
2013,0
2030,0
2035,0
2042,0
2044,0
2055,0
2056,0
2060,0
2062,0
2071,0
2072,0
2082,0
2083,0
2085,0
2086,0
2088,0
2089,0
2090,0
2092,0
2096,0
2100,0
2112,0
2118,0
2120,0
2130,0
2133,0
2134,0
2136,0
2137,0
2141,0
2142,0
2143,0
2154,0
2158,0
2169,0
2172,0
2175,0
2195,0
2196,0
2202,0
2208,0
2209,0
2214,0
2215,0
2222,0
2223,0
2228,0
2230,0
2232,0
2237,0
2241,0
2251,0
2253,0
2260,0
2266,0
2267,0
2270,0
2276,0
2277,0
2278,0
2279,0
2281,0
2282,0
2287,0
2291,0
2297,0
2300,0
2301,0
2305,0
2309,0
2311,0
2317,0
2319,0
2321,0
2324,0
2326,0
2332,0
2334,0
2335,0
2343,0
2345,0
2347,0
2358,0
2361,0
2362,0
2363,0
2373,0
2376,0
2384,0
2387,0
2389,0
2391,0
2394,0
2399,0
2405,0
2406,0
2407,0
2409,0
2415,0
2426,0
2436,0
2442,0
2443,0
2445,0
2446,0
2450,0
2458,0
2464,0
2465,0
2468,0
2472,0
2477,0
2486,0
2490,0
2493,0
2496,0
2497,0
2498,0
2500,0
2502,0
2506,0
2508,0
2509,0
2519,0
2526,0
2528,0
2533,0
2534,0
2537,0
2539,0
2541,0
2542,0
2550,0
2555,0
2560,0
2562,0
2565,0
2567,0
2572,0
2580,0
2583,0
2584,0
2585,0
2586,0
2589,0
2593,0
2596,0
2603,0
2605,0
2617,0
2618,0
2620,0
2623,0
2634,0
2636,0
2639,0
2642,0
2648,0
2650,0
2665,0
2677,0
2679,0
2684,0
2685,0
2688,0
2689,0
2695,0
2704,0
2708,0
2711,0
2715,0
2716,0
2719,0
2725,0
2727,0
2731,0
2732,0
2741,0
2745,0
2747,0
2753,0
2755,0
2759,0
2763,0
2765,0
2768,0
2773,0
2785,0
2790,0
2792,0
2798,0
2799,0
2806,0
2816,0
2820,0
2831,0
2835,0
2843,0
2848,0
2849,0
2852,0
2856,0
2857,0
2858,0
2859,0
2866,0
2868,0
2869,0
2875,0
2877,0
2880,0
2885,0
2886,0
2892,0
2894,0
2899,0
2901,0
2902,0
2904,0
2905,0
2908,0
2919,0
2925,0
2930,0
2933,0
2938,0
2944,0
2948,0
2950,0
2951,0
2953,0
2955,0
2956,0
2959,0
2961,0
2968,0
2970,0
2974,0
2975,0
2976,0
2981,0
2983,0
2992,0
2993,0
3001,0
3002,0
3003,0
3014,0
3015,0
3022,0
3024,0
3028,0
3029,0
3032,0
3036,0
3039,0
3046,0
3048,0
3050,0
3051,0
3054,0
3057,0
3059,0
3064,0
3065,0
3068,0
3069,0
3070,0
3078,0
3083,0
3097,0
3100,0
3101,0
3102,0
3103,0
3106,0
3107,0
3109,0
3114,0
3116,0
3120,0
3123,0
3126,0
3127,0
3129,0
3133,0
3140,0
3142,0
3153,0
3155,0
3156,0
3161,0
3163,0
3170,0
3173,0
3178,0
3180,0
3185,0
3190,0
3194,0
3198,0
3199,0
3201,0
3203,0
3209,0
3211,0
3212,0
3220,0
3221,0
3223,0
3227,0
3230,0
3231,0
3235,0
3243,0
3247,0
3249,0
3255,0
3257,0
3264,0
3266,0
3269,0
3271,0
3273,0
3283,0
3285,0
3287,0
3288,0
3290,0
3295,0
3299,0
3309,0
3316,0
3317,0
3319,0
3323,0
3330,0
3335,0
3345,0
3348,0
3350,0
3354,0
3357,0
3358,0
3363,0
3379,0
3380,0
3383,0
3384,0
3387,0
3388,0
3395,0
3397,0
3398,0
3399,0
3403,0
3411,0
3417,0
3419,0
3426,0
3427,0
3428,0
3439,0
3441,0
3442,0
3446,0
3449,0
3452,0
3456,0
3460,0
3464,0
3470,0
3471,0
3474,0
3475,0
3476,0
3479,0
3483,0
3484,0
3489,0
3493,0
3495,0
3499,0
3503,0
3505,0
3508,0
3509,0
3510,0
3511,0
3518,0
3519,0
3526,0
3533,0
3548,0
3549,0
3563,0
3567,0
3579,0
3580,0
3581,0
3586,0
3589,0
3590,0
3593,0
3595,0
3596,0
3602,0
3610,0
3620,0
3629,0
3635,0
3636,0
3639,0
3640,0
3641,0
3644,0
3654,0
3656,0
3659,0
3661,0
3663,0
3669,0
3674,0
3691,0
3695,0
3698,0
3699,0
3703,0
3704,0
3705,0
3706,0
3707,0
3708,0
3711,0
3712,0
3726,0
3733,0
3736,0
3741,0
3746,0
3747,0
3753,0
3754,0
3758,0
3762,0
3770,0
3777,0
3779,0
3781,0
3786,0
3788,0
3790,0
3793,0
3795,0
3799,0
3800,0
3807,0
3814,0
3819,0
3821,0
3827,0
3830,0
3832,0
3834,0
3835,0
3836,0
3841,0
3843,0
3844,0
3845,0
3848,0
3849,0
3859,0
3862,0
3875,0
3877,0
3885,0
3886,0
3900,0
3902,0
3906,0
3911,0
3915,0
3917,0
3920,0
3922,0
3923,0
3924,0
3929,0
3930,0
3931,0
3932,0
3939,0
3940,0
3941,0
3943,0
3947,0
3950,0
3955,0
3965,0
3972,0
3979,0
3980,0
3987,0
3995,0
3996,0
4011,0
4022,0
4029,0
4030,0
4033,0
4035,0
4038,0
4041,0
4048,0
4059,0
4062,0
4071,0
4073,0
4081,0
4085,0
4094,0
4098,0
4102,0
4105,0
4106,0
4107,0
4111,0
4116,0
4120,0
4121,0
4122,0
4126,0
4129,0
4141,0
4144,0
4148,0
4149,0
4150,0
4153,0
4157,0
4158,0
4161,0
4166,0
4168,0
4169,0
4171,0
4179,0
4182,0
4187,0
4190,0
4195,0
4200,0
4201,0
4202,0
4203,0
4204,0
4207,0
4210,0
4217,0
4218,0
4220,0
4221,0
4224,0
4228,0
4230,0
4236,0
4238,0
4242,0
4247,0
4253,0
4254,0
4255,0
4257,0
4266,0
4274,0
4281,0
4283,0
4286,0
4287,0
4293,0
4294,0
4297,0
4304,0
4305,0
4306,0
4309,0
4321,0
4323,0
4331,0
4336,0
4337,0
4340,0
4342,0
4344,0
4345,0
4347,0
4348,0
4352,0
4362,0
4373,0
4376,0
4385,0
4388,0
4389,0
4392,0
4394,0
4401,0
4405,0
4406,0
4409,0
4411,0
4414,0
4420,0
4422,0
4425,0
4431,0
4439,0
4446,0
4449,0
4450,0
4451,0
4456,0
4458,0
4460,0
4462,0
4464,0
4469,0
4470,0
4472,0
4473,0
4476,0
4481,0
4485,0
4502,0
4503,0
4507,0
4514,0
4520,0
4521,0
4526,0
4529,0
4535,0
4541,0
4544,0
4547,0
4548,0
4557,0
4561,0
4570,0
4572,0
4578,0
4580,0
4581,0
4585,0
4590,0
4593,0
4597,0
4603,0
4606,0
4615,0
4626,0
4635,0
4637,0
4639,0
4640,0
4642,0
4646,0
4660,0
4666,0
4668,0
4673,0
4674,0
4679,0
4680,0
4689,0
4690,0
4700,0
4703,0
4706,0
4707,0
4708,0
4717,0
4731,0
4737,0
4738,0
4739,0
4740,0
4741,0
4743,0
4745,0
4750,0
4752,0
4756,0
4757,0
4760,0
4763,0
4772,0
4773,0
4775,0
4776,0
4784,0
4789,0
4795,0
4806,0
4811,0
4813,0
4814,0
4818,0
4820,0
4823,0
4825,0
4826,0
4832,0
4833,0
4841,0
4845,0
4846,0
4848,0
4851,0
4852,0
4860,0
4868,0
4872,0
4878,0
4881,0
4885,0
4891,0
4893,0
4895,0
4901,0
4903,0
4904,0
4914,0
4916,0
4919,0
4933,0
4950,0
4956,0
4963,0
4965,0
4969,0
4970,0
4971,0
4973,0
4975,0
4977,0
4978,0
4979,0
4982,0
4983,0
4985,0
4986,0
4990,0
4991,0
4992,0
4994,0
5002,0
5006,0
5007,0
5017,0
5019,0
5026,0
5027,0
5032,0
5035,0
5036,0
5039,0
5041,0
5043,0
5046,0
5048,0
5069,0
5071,0
5082,0
5095,0
5097,0
5099,0
5101,0
5108,0
5115,0
5116,0
5118,0
5122,0
5125,0
5129,0
5134,0
5136,0
5139,0
5140,0
5145,0
5146,0
5149,0
5153,0
5156,0
5158,0
5161,0
5165,0
5166,0
5173,0
5175,0
5182,0
5184,0
5187,0
5188,0
5192,0
5196,0
5199,0
5200,0
5202,0
5211,0
5212,0
5216,0
5217,0
5219,0
5220,0
5221,0
5222,0
5223,0
5225,0
5226,0
5227,0
5228,0
5237,0
5253,0
5261,0
5283,0
5285,0
5287,0
5289,0
5301,0
5305,0
5307,0
5318,0
5322,0
5326,0
5328,0
5333,0
5335,0
5338,0
5342,0
